Palavra,Documentos
meses,"[(1, 1), (16, 1), (19, 1), (29, 1), (32, 1), (41, 1), (46, 1), (58, 2), (63, 1), (70, 3), (76, 1), (77, 1), (87, 1), (93, 1), (95, 1), (96, 1), (98, 1), (101, 1), (103, 1), (114, 2), (121, 1), (124, 1), (126, 1), (127, 1), (160, 1), (165, 1), (175, 1), (183, 2), (202, 1), (207, 1), (216, 1), (218, 1), (219, 1), (220, 1), (225, 1), (229, 1), (233, 1), (247, 1), (249, 1), (264, 1), (269, 2), (270, 1), (275, 1), (276, 1)]"
ouvindo,"[(1, 1), (224, 1)]"
médicos,"[(1, 2), (32, 3), (68, 1), (90, 2), (92, 4), (187, 1)]"
atuam,"[(1, 1), (59, 1), (63, 1), (171, 1), (208, 1), (220, 1), (264, 1)]"
venezuela,"[(1, 5), (4, 4), (6, 5), (19, 9), (24, 12), (26, 5), (34, 4), (100, 1), (111, 1), (114, 1), (115, 2), (133, 3), (134, 2), (135, 7), (136, 6), (138, 7), (139, 1), (140, 7), (141, 6), (143, 1), (145, 5), (146, 4), (147, 1), (150, 1), (152, 7), (153, 4), (154, 4), (156, 6), (160, 3), (169, 1), (220, 6), (261, 2)]"
cidadãos,"[(1, 1), (24, 1), (30, 3), (32, 1), (81, 1), (117, 1), (119, 5), (136, 2), (144, 1), (146, 1), (164, 1), (176, 1), (187, 1), (189, 1), (193, 1), (198, 1), (246, 3), (272, 1), (273, 1)]"
cruzaram,"[(1, 1)]"
fronteira,"[(1, 1), (42, 1), (47, 1), (114, 1), (126, 1), (134, 3), (136, 2), (139, 1), (160, 1), (164, 2), (173, 1), (188, 3), (254, 1), (268, 2), (273, 1)]"
brasil,"[(1, 1), (4, 5), (5, 3), (6, 2), (7, 6), (8, 1), (10, 1), (12, 2), (13, 2), (15, 2), (16, 3), (20, 1), (24, 3), (25, 1), (26, 3), (28, 2), (31, 5), (32, 7), (33, 1), (34, 2), (38, 1), (45, 1), (51, 3), (53, 2), (57, 3), (58, 4), (61, 1), (62, 2), (63, 7), (64, 1), (66, 1), (70, 2), (74, 1), (76, 5), (77, 2), (79, 1), (80, 1), (81, 1), (84, 2), (85, 4), (89, 2), (91, 3), (94, 3), (97, 4), (100, 9), (101, 1), (103, 1), (104, 1), (105, 2), (106, 1), (107, 2), (108, 3), (110, 1), (111, 4), (113, 6), (114, 3), (115, 3), (117, 2), (122, 5), (129, 5), (130, 1), (133, 7), (134, 1), (136, 3), (140, 1), (141, 1), (143, 1), (146, 1), (150, 1), (152, 4), (153, 1), (154, 1), (156, 1), (160, 4), (168, 1), (169, 3), (174, 9), (175, 1), (177, 17), (178, 2), (179, 4), (180, 1), (184, 1), (192, 1), (195, 1), (196, 5), (197, 1), (199, 1), (201, 1), (202, 2), (203, 1), (206, 1), (218, 10), (219, 1), (220, 4), (224, 2), (227, 1), (231, 1), (233, 1), (235, 10), (236, 1), (240, 5), (241, 3), (243, 1), (245, 1), (246, 1), (247, 1), (248, 1), (249, 1), (252, 1), (253, 2), (254, 7), (261, 1), (265, 2), (266, 2), (270, 2), (275, 2), (276, 2)]"
col,"[(1, 1), (4, 1), (13, 2), (24, 3), (63, 1), (76, 1), (134, 2), (136, 1), (139, 4), (140, 1), (141, 1), (150, 2), (156, 1), (169, 1), (172, 1), (205, 1), (216, 2), (220, 1), (248, 1), (261, 3)]"
