Palavra,Documentos
mestiços,"[(7, 1)]"
frutos,"[(7, 1), (187, 1)]"
estupros,"[(7, 1)]"
africanas,"[(7, 1)]"
escravizadas,"[(7, 1)]"
ressalta,"[(7, 1), (32, 1), (65, 1), (196, 1), (237, 2)]"
aparentemente,"[(7, 1), (78, 1), (100, 1), (134, 1), (177, 1), (193, 1), (197, 1), (218, 1), (254, 1)]"
chamado,"[(7, 1), (29, 1), (38, 1), (42, 1), (48, 1), (63, 1), (103, 1), (111, 1), (129, 1), (137, 1), (157, 1), (193, 1), (207, 2), (214, 1), (218, 1), (228, 1), (246, 1), (252, 1), (257, 1), (261, 1), (263, 1), (267, 2), (268, 2)]"
atenção,"[(7, 1), (15, 1), (18, 1), (29, 1), (63, 1), (68, 1), (72, 1), (86, 1), (91, 1), (100, 1), (107, 1), (111, 1), (121, 1), (146, 1), (161, 1), (163, 1), (164, 1), (173, 1), (177, 1), (197, 2), (205, 1), (206, 1), (209, 1), (224, 1), (226, 1), (263, 2)]"
cada,"[(7, 1), (17, 1), (53, 1), (58, 3), (60, 1), (61, 2), (63, 1), (76, 1), (80, 1), (81, 4), (89, 1), (100, 1), (104, 2), (106, 1), (109, 1), (110, 1), (118, 1), (121, 1), (126, 1), (131, 1), (135, 1), (136, 3), (140, 1), (150, 1), (152, 1), (157, 3), (159, 2), (165, 1), (167, 2), (187, 1), (188, 1), (190, 1), (192, 1), (200, 1), (204, 1), (205, 4), (206, 1), (214, 1), (215, 2), (218, 3), (220, 2), (224, 1), (225, 1), (235, 2), (240, 1), (249, 2), (253, 1), (257, 1), (262, 1), (263, 3), (267, 1), (272, 1), (273, 2), (276, 1), (277, 2)]"
possuiu,"[(7, 1)]"
inscritos,"[(7, 1), (95, 1)]"
página,"[(7, 1), (136, 1), (193, 1), (215, 1), (265, 1)]"
alimentado,"[(7, 1)]"
discursos,"[(7, 1), (76, 1), (94, 1), (187, 2), (209, 1), (243, 1), (254, 1)]"
suposta,"[(7, 1), (211, 1), (218, 1), (220, 1), (254, 1), (272, 1)]"
doutrinação,"[(7, 1), (211, 1)]"
ideológica,"[(7, 1), (15, 1), (26, 1), (66, 1), (84, 1), (95, 1), (133, 1), (211, 2), (225, 1), (253, 1), (261, 1)]"
ataque,"[(7, 1), (13, 2), (30, 1), (61, 1), (87, 1), (108, 3), (118, 1), (152, 1), (168, 1), (173, 1), (177, 1), (182, 2), (186, 2), (193, 11), (197, 6), (198, 4), (199, 4), (202, 2), (203, 2), (205, 2), (215, 2), (218, 2), (220, 2), (235, 1), (236, 1), (266, 2)]"
conhecimento,"[(7, 2), (12, 1), (32, 1), (82, 1), (121, 1), (130, 2), (266, 2)]"
voltado,"[(7, 1), (57, 1), (241, 1), (267, 1)]"
visto,"[(7, 1), (24, 1), (32, 1), (45, 3), (63, 1), (77, 1), (88, 1), (103, 1), (107, 1), (117, 2), (121, 1), (144, 1), (176, 1), (205, 1), (215, 2), (254, 1), (267, 2), (271, 1)]"
muita,"[(7, 1), (16, 1), (26, 1), (63, 1), (81, 1), (94, 1), (101, 1), (119, 1), (131, 1), (146, 1), (160, 2), (161, 1), (219, 1), (224, 2), (249, 4), (267, 1)]"
preocupação,"[(7, 1), (16, 1), (24, 2), (63, 2), (72, 1), (77, 1), (95, 1), (100, 1), (124, 1), (131, 1), (156, 1), (161, 1), (172, 1), (177, 1), (178, 1), (237, 1), (265, 1)]"
identificam,"[(7, 1), (233, 1)]"
definindo,"[(7, 1), (53, 1)]"
professoras,"[(7, 1)]"
destaque,"[(7, 1), (16, 1), (89, 1), (111, 1), (140, 1), (152, 1), (206, 1), (212, 1)]"
grande,"[(7, 1), (13, 1), (15, 1), (16, 1), (17, 1), (18, 2), (25, 1), (26, 1), (29, 1), (30, 2), (31, 1), (44, 1), (53, 2), (55, 1), (60, 1), (61, 4), (63, 1), (66, 2), (68, 1), (70, 2), (76, 2), (77, 2), (88, 1), (91, 1), (95, 2), (100, 3), (107, 1), (113, 1), (114, 1), (115, 1), (118, 2), (120, 1), (124, 2), (129, 3), (130, 1), (134, 1), (135, 1), (139, 1), (144, 2), (145, 1), (148, 2), (150, 1), (152, 2), (156, 1), (157, 1), (159, 1), (164, 2), (170, 1), (179, 1), (187, 1), (192, 1), (193, 1), (195, 1), (197, 1), (199, 1), (202, 1), (205, 2), (214, 1), (216, 1), (217, 1), (218, 3), (219, 1), (220, 5), (225, 1), (232, 4), (234, 1), (235, 2), (237, 2), (240, 2), (245, 2), (249, 5), (254, 2), (257, 1), (258, 1), (263, 1), (264, 1), (267, 1), (269, 3), (276, 1)]"
inimigo,"[(7, 1), (23, 1), (25, 1), (38, 1), (218, 1)]"
desautorizam,"[(7, 1)]"
deslegitimam,"[(7, 1)]"
trabalho,"[(7, 1), (9, 1), (16, 2), (17, 1), (18, 1), (19, 1), (25, 1), (32, 3), (34, 1), (38, 2), (60, 1), (61, 10), (68, 2), (79, 1), (89, 1), (100, 1), (101, 1), (116, 1), (134, 1), (135, 1), (157, 1), (158, 1), (159, 1), (160, 9), (164, 1), (177, 1), (183, 2), (188, 1), (195, 1), (196, 1), (202, 1), (204, 1), (205, 1), (206, 1), (212, 1), (214, 1), (215, 3), (216, 1), (218, 1), (220, 2), (224, 1), (233, 1), (236, 1), (237, 1), (248, 1), (249, 1), (253, 1), (254, 1), (258, 1), (261, 1), (266, 1), (267, 1), (271, 1)]"
professor,"[(7, 2), (17, 1), (31, 1), (44, 1), (56, 1), (66, 1), (95, 2), (108, 1), (110, 1), (113, 3), (117, 2), (118, 1), (130, 1), (133, 4), (166, 1), (179, 1), (184, 1), (188, 1), (199, 1), (224, 2), (232, 1), (233, 1), (234, 2), (240, 2), (247, 1), (254, 1), (266, 2), (269, 1), (276, 1)]"
interromper,"[(7, 1)]"
geração,"[(7, 1), (32, 1), (117, 1), (249, 1), (253, 1), (272, 1)]"
questionadora,"[(7, 1)]"
colocar,"[(7, 1), (16, 1), (17, 1), (68, 1), (78, 1), (90, 1), (114, 1), (126, 1), (163, 1), (217, 1), (234, 1), (245, 2), (254, 2)]"
alunos,"[(7, 1), (108, 2), (197, 1), (199, 3), (211, 1), (218, 1), (223, 1), (240, 1), (263, 1), (266, 1)]"
maneira,"[(7, 1), (15, 1), (16, 1), (26, 1), (29, 1), (30, 2), (31, 1), (68, 2), (91, 2), (111, 1), (118, 1), (128, 2), (146, 1), (164, 1), (170, 1), (181, 1), (192, 1), (197, 1), (201, 1), (240, 1), (249, 2), (254, 4), (257, 1), (264, 1)]"
eficiente,"[(7, 1), (88, 1), (220, 1)]"
parar,"[(7, 1), (44, 1), (89, 1), (195, 1), (231, 1), (267, 1)]"
emancipador,"[(7, 1)]"
profissionais,"[(7, 1), (32, 1), (63, 1), (107, 1), (171, 1), (205, 1)]"
impede,"[(7, 1), (61, 1), (66, 1), (135, 1), (237, 1), (242, 1)]"
debate,"[(7, 1), (15, 2), (20, 2), (25, 2), (27, 1), (42, 1), (63, 1), (68, 1), (74, 1), (113, 1), (130, 1), (131, 1), (140, 1), (144, 2), (165, 1), (171, 1), (218, 1), (220, 3), (249, 1), (254, 1), (261, 1)]"
inibe,"[(7, 1)]"
metodologias,"[(7, 1)]"
científicas,"[(7, 1), (68, 2), (84, 1), (248, 1)]"
saber,"[(7, 1), (12, 1), (32, 1), (61, 1), (67, 1), (70, 1), (100, 1), (103, 2), (104, 1), (130, 1), (137, 1), (138, 1), (146, 1), (162, 1), (180, 2), (195, 1), (225, 1), (234, 1), (245, 1), (249, 1), (256, 1), (270, 1)]"
serve,"[(7, 1), (24, 1), (52, 1), (66, 1), (170, 1), (245, 1), (249, 1)]"
consolidação,"[(7, 1), (195, 1), (229, 1), (232, 1)]"
entidades,"[(8, 1), (63, 4), (77, 2), (89, 2), (200, 1), (223, 1), (233, 1), (236, 1), (237, 2), (238, 1), (246, 1)]"
encampada,"[(8, 1), (66, 1)]"
presidencial,"[(8, 1), (17, 1), (19, 1), (38, 1), (53, 1), (56, 1), (76, 1), (88, 1), (100, 1), (111, 2), (120, 2), (130, 1), (143, 2), (147, 1), (152, 1), (153, 2), (154, 2), (179, 1), (181, 1), (196, 1), (228, 1), (249, 1), (252, 2), (261, 1), (274, 1)]"
meio,"[(8, 1), (15, 2), (17, 2), (19, 1), (24, 1), (26, 1), (27, 1), (36, 1), (37, 1), (40, 1), (45, 2), (46, 1), (48, 2), (50, 2), (52, 2), (63, 1), (70, 1), (76, 2), (85, 1), (89, 1), (93, 1), (94, 1), (95, 2), (96, 1), (97, 2), (100, 3), (102, 1), (110, 1), (111, 1), (120, 1), (128, 1), (135, 2), (138, 1), (143, 1), (145, 1), (156, 1), (164, 1), (168, 1), (173, 1), (177, 2), (179, 1), (187, 1), (195, 1), (201, 2), (207, 1), (209, 1), (217, 1), (223, 1), (225, 1), (227, 1), (234, 2), (235, 1), (236, 1), (249, 1), (252, 2), (258, 2), (262, 2), (263, 1), (265, 1), (267, 2), (272, 3), (273, 1), (276, 1)]"
cita,"[(8, 1), (37, 1), (82, 1), (193, 1), (196, 1), (201, 1), (236, 1), (240, 1), (254, 1), (263, 2)]"
apoio,"[(8, 1), (24, 1), (26, 1), (27, 1), (28, 1), (29, 3), (30, 1), (32, 3), (34, 1), (38, 1), (42, 2), (53, 4), (56, 2), (66, 1), (70, 3), (74, 1), (77, 1), (89, 1), (93, 1), (107, 1), (109, 2), (111, 1), (113, 1), (124, 1), (130, 2), (133, 2), (134, 2), (135, 1), (136, 2), (137, 1), (138, 1), (140, 3), (143, 1), (145, 2), (153, 1), (154, 1), (164, 1), (165, 1), (168, 1), (173, 1), (174, 1), (179, 1), (184, 1), (188, 1), (198, 1), (208, 1), (219, 1), (220, 1), (222, 1), (227, 1), (228, 1), (235, 2), (238, 1), (245, 1), (252, 1), (254, 1), (261, 2), (263, 1), (277, 1)]"
queixa,"[(8, 1), (249, 1)]"
revelada,"[(8, 1), (96, 1), (241, 1), (275, 1)]"
confirmada,"[(8, 1), (136, 1), (205, 1)]"
feita,"[(8, 1), (13, 1), (15, 1), (16, 1), (17, 1), (85, 2), (135, 1), (138, 1), (157, 1), (172, 2), (175, 1), (177, 1), (206, 1), (207, 1), (209, 1), (215, 1), (216, 1), (235, 1), (270, 1)]"
caráter,"[(8, 2), (17, 1), (20, 1), (45, 1), (86, 1), (103, 1), (119, 3), (133, 1), (214, 1), (220, 1), (245, 1), (258, 1), (275, 1)]"
confidencial,"[(8, 1)]"
ala,"[(8, 1), (15, 1), (133, 2), (179, 1), (184, 1), (225, 1)]"
dura,"[(8, 1), (20, 1), (37, 1), (42, 3), (66, 1), (103, 1), (149, 1), (194, 1), (205, 1), (249, 1)]"
renegam,"[(8, 1), (65, 1)]"
golpista,"[(8, 1), (270, 1)]"
passada,"[(8, 1), (18, 1), (19, 1), (97, 1), (114, 2), (135, 1), (160, 1), (169, 1), (176, 1), (192, 1), (225, 1), (274, 1)]"
determinou,"[(8, 1), (10, 1), (207, 1), (231, 1), (276, 1)]"
promovessem,"[(8, 1)]"
palavras,"[(8, 1), (14, 1), (36, 1), (38, 1), (63, 1), (72, 1), (77, 1), (81, 1), (85, 1), (100, 1), (110, 1), (143, 1), (161, 1), (167, 1), (209, 1), (268, 1)]"
porta,"[(8, 1), (12, 1), (15, 2), (18, 1), (19, 3), (47, 1), (73, 1), (81, 1), (86, 1), (92, 1), (100, 1), (127, 2), (140, 2), (144, 1), (145, 1), (150, 1), (176, 1), (193, 1), (208, 1), (217, 2), (218, 1), (225, 1), (235, 1), (245, 1), (249, 1), (274, 2)]"
voz,"[(8, 1), (12, 1), (15, 2), (19, 3), (47, 1), (53, 1), (86, 1), (92, 1), (100, 1), (118, 1), (120, 1), (127, 2), (140, 2), (145, 1), (150, 1), (176, 1), (181, 1), (208, 1), (215, 1), (217, 2), (225, 2), (235, 1), (246, 1), (274, 2)]"
comemorações,"[(8, 1), (10, 1), (12, 1)]"
devidas,"[(8, 1)]"
aniversário,"[(8, 1), (13, 1), (20, 1), (163, 1)]"
criticado,"[(8, 1), (104, 1), (156, 1), (200, 1)]"
baixou,"[(8, 1), (89, 1), (100, 1)]"
tom,"[(8, 1), (13, 1), (16, 1), (27, 1), (29, 1), (51, 2), (66, 1), (70, 2), (89, 1), (100, 1), (120, 1), (124, 1), (175, 1), (249, 1), (270, 1), (273, 1)]"
ideia,"[(8, 1), (16, 3), (17, 1), (32, 1), (42, 1), (53, 1), (57, 2), (61, 3), (63, 1), (66, 2), (100, 1), (122, 1), (157, 1), (165, 1), (179, 1), (195, 2), (200, 3), (202, 2), (208, 1), (215, 1), (216, 1), (230, 1), (237, 1), (247, 1), (249, 2), (254, 2), (264, 1), (265, 1), (266, 2), (268, 1)]"
comemorar,"[(8, 1), (12, 1), (24, 1), (76, 1)]"
sim,"[(8, 1), (16, 2), (17, 1), (44, 1), (53, 1), (61, 3), (66, 1), (68, 1), (72, 1), (74, 1), (76, 1), (77, 1), (84, 1), (88, 1), (106, 1), (131, 1), (152, 2), (164, 1), (179, 1), (197, 1), (204, 1), (218, 2), (220, 1), (228, 1), (235, 5), (240, 1), (249, 1), (253, 1), (271, 2), (275, 1)]"
rememorar,"[(8, 1)]"
evento,"[(8, 1), (10, 1), (53, 1), (57, 1), (92, 1), (93, 1), (94, 2), (96, 1), (97, 2), (118, 1), (130, 1), (167, 1), (168, 4), (205, 1), (215, 1), (217, 1), (220, 1), (253, 1), (261, 1), (268, 1), (269, 1)]"
simbólico,"[(8, 1), (252, 1)]"
identificação,"[(8, 1), (94, 1), (119, 1)]"
legítimas,"[(8, 1)]"
aspirações,"[(8, 1), (106, 1)]"
povo,"[(8, 1), (16, 1), (24, 3), (25, 1), (45, 1), (46, 1), (76, 1), (100, 1), (111, 1), (119, 4), (121, 1), (136, 1), (138, 3), (140, 3), (141, 1), (144, 1), (145, 1), (146, 1), (153, 1), (154, 1), (163, 1), (172, 1), (174, 1), (179, 2), (187, 4), (188, 1), (216, 1), (218, 4), (220, 3), (235, 3), (245, 1), (246, 1), (249, 3), (253, 1), (269, 3)]"
trecho,"[(8, 1), (73, 1), (264, 1)]"
marinha,"[(8, 1), (107, 1), (171, 2), (272, 2)]"
exército,"[(8, 1), (12, 1), (19, 1), (23, 1), (118, 1), (119, 1), (139, 1), (171, 3), (229, 1), (233, 1), (246, 2), (247, 1), (261, 1), (270, 1)]"
aeronáutica,"[(8, 1)]"
reconhecem,"[(8, 1), (16, 1), (127, 1), (138, 2), (141, 1), (143, 1)]"
desempenhado,"[(8, 1)]"
depararem,"[(8, 1)]"
desafios,"[(8, 1), (170, 1), (206, 1), (257, 1)]"
época,"[(8, 1), (12, 1), (13, 2), (22, 1), (31, 2), (48, 1), (66, 1), (68, 1), (70, 1), (76, 2), (89, 1), (95, 1), (107, 1), (110, 1), (113, 1), (118, 1), (120, 2), (130, 1), (163, 1), (164, 1), (165, 1), (177, 1), (187, 1), (199, 3), (201, 1), (232, 1), (237, 1), (240, 1), (241, 1), (249, 2), (252, 2), (253, 1), (256, 1), (258, 1), (266, 1), (271, 1), (272, 1)]"
agiram,"[(8, 1), (170, 1)]"
conforme,"[(8, 1), (12, 1), (20, 2), (40, 1), (59, 1), (71, 1), (76, 1), (82, 1), (102, 1), (103, 2), (107, 2), (165, 1), (175, 1), (176, 1), (177, 2), (200, 1), (204, 1), (208, 1), (212, 1), (228, 1), (233, 1), (240, 1), (244, 1), (246, 1), (265, 1), (272, 1), (275, 1)]"
anseios,"[(8, 1), (100, 1)]"
nação,"[(8, 1), (97, 1), (100, 1), (103, 1), (129, 1), (152, 1), (163, 1), (171, 1), (202, 1), (264, 1), (275, 1)]"
instituto,"[(8, 1), (79, 1), (84, 1), (89, 1), (100, 1), (118, 1), (177, 1), (179, 2), (181, 1), (184, 1), (225, 1), (233, 3), (240, 3), (249, 2), (263, 2)]"
vladimir,"[(8, 1), (145, 1)]"
herzog,"[(8, 1)]"
acionou,"[(8, 1), (100, 1), (227, 1)]"
pedindo,"[(8, 1), (10, 1), (12, 1), (107, 1), (137, 1), (140, 1), (163, 1), (249, 1)]"
proibido,"[(8, 1), (76, 1), (89, 1), (100, 1), (120, 1), (135, 1), (248, 2)]"
defensoria,"[(8, 1), (12, 3)]"
união,"[(8, 2), (13, 1), (15, 2), (19, 2), (24, 1), (30, 3), (34, 1), (38, 2), (42, 5), (43, 1), (46, 1), (47, 6), (52, 2), (53, 1), (95, 2), (116, 1), (135, 1), (140, 2), (143, 1), (145, 2), (183, 2), (187, 1), (220, 1), (233, 1), (234, 1), (236, 1), (240, 1), (248, 1), (254, 1), (255, 1), (263, 1)]"
semelhante,"[(8, 1), (24, 1), (80, 2), (152, 1), (211, 1), (212, 1)]"
requereu,"[(8, 1), (102, 1), (103, 1), (244, 1), (246, 2)]"
impedida,"[(8, 1), (197, 1)]"
gastar,"[(8, 1), (272, 1)]"
gasto,"[(8, 1), (18, 2), (27, 1), (113, 1), (146, 1), (184, 2)]"
finalidade,"[(8, 1), (81, 1)]"
pena,"[(8, 1), (10, 1), (23, 1), (31, 1), (52, 1), (53, 1), (65, 2), (77, 3), (82, 5), (95, 1), (104, 1), (121, 1), (152, 1), (216, 1), (217, 1), (220, 1), (225, 1), (244, 1), (246, 2), (249, 2), (251, 1), (252, 1), (257, 2), (263, 3), (271, 2), (275, 3), (276, 1)]"
multa,"[(8, 1), (10, 1), (27, 1), (82, 1), (104, 1), (190, 1), (216, 1), (248, 1)]"
comum,"[(9, 1), (40, 1), (44, 1), (66, 1), (70, 3), (74, 1), (81, 1), (88, 2), (95, 1), (114, 1), (115, 1), (118, 1), (131, 1), (187, 1), (188, 1), (197, 2), (202, 1), (205, 1), (216, 1), (217, 1), (234, 1), (257, 1)]"
jovens,"[(9, 1), (12, 2), (57, 1), (58, 5), (108, 1), (131, 1), (164, 1), (172, 5), (199, 1), (200, 1), (218, 6), (223, 1), (247, 1)]"
vindos,"[(9, 1), (172, 1)]"
representam,"[(9, 1), (87, 1), (173, 1), (175, 1), (225, 1), (262, 1), (272, 2), (274, 1)]"
caldo,"[(9, 1), (81, 1)]"
contemporâneo,"[(9, 1), (76, 1)]"
psol,"[(9, 1), (16, 1), (25, 1), (67, 1), (70, 5), (71, 1), (79, 1), (96, 1), (100, 1), (218, 4), (220, 8), (234, 1), (237, 1), (254, 2), (256, 1), (277, 3)]"
nasceu,"[(9, 1), (53, 2), (76, 1), (177, 1), (182, 1), (219, 1)]"
alternativa,"[(9, 1), (15, 1), (25, 1), (56, 1), (66, 2), (131, 1), (200, 1), (220, 2), (238, 1), (277, 1)]"
vícios,"[(9, 1)]"
petista,"[(9, 1), (20, 1), (53, 1), (107, 1), (152, 1)]"
podemos,"[(9, 1), (25, 1), (26, 1), (30, 1), (32, 1), (76, 1), (100, 2), (105, 1), (131, 2), (161, 1), (165, 1), (176, 1), (187, 1), (220, 1), (254, 1), (258, 2), (264, 1), (274, 1)]"
insatisfação,"[(9, 1), (97, 1), (205, 1)]"
austeridade,"[(9, 1), (18, 4), (72, 1), (125, 1), (245, 1)]"
pós,"[(9, 1), (20, 1), (42, 1), (100, 1), (104, 1), (110, 1), (232, 1), (234, 1), (254, 1), (267, 1)]"
espanha,"[(9, 1), (19, 1), (24, 1), (25, 1), (27, 5), (29, 7), (30, 8), (34, 1), (38, 2), (48, 1), (100, 1), (135, 1), (140, 1), (172, 1), (187, 2)]"
convite,"[(9, 1), (16, 1), (98, 1)]"
trio,"[(9, 1), (25, 1), (53, 2), (59, 1)]"
bateu,"[(9, 1), (18, 1), (20, 1), (30, 1), (56, 1), (94, 1)]"
papo,"[(9, 1), (100, 1)]"
futuro,"[(9, 1), (17, 3), (18, 1), (25, 2), (26, 1), (29, 1), (43, 1), (70, 2), (88, 1), (100, 1), (107, 1), (118, 1), (128, 1), (133, 2), (135, 1), (145, 1), (153, 1), (154, 1), (164, 1), (173, 1), (177, 3), (179, 3), (181, 1), (187, 1), (200, 1), (214, 1), (221, 3), (231, 1), (248, 1), (254, 1), (257, 1), (258, 1), (261, 1), (267, 1)]"
feminista,"[(9, 1), (38, 3), (53, 1), (130, 1), (218, 2)]"
luta,"[(9, 1), (15, 1), (32, 2), (38, 1), (40, 1), (53, 4), (61, 1), (68, 2), (72, 1), (100, 1), (130, 1), (152, 1), (161, 1), (186, 1), (195, 2), (196, 1), (218, 3), (219, 1), (220, 1), (229, 1), (246, 1), (250, 1), (266, 2), (272, 1)]"
autoritarismo,"[(9, 1), (97, 1), (220, 1), (253, 2)]"
cumpre,"[(10, 1), (251, 1)]"
informar,"[(10, 1), (66, 1), (103, 1), (104, 1), (264, 1)]"
consultorias,"[(10, 2), (164, 1)]"
jurídicas,"[(10, 2), (88, 1), (95, 2)]"
adjuntas,"[(10, 1)]"
elaborando,"[(10, 1)]"
pareceres,"[(10, 2)]"
quais,"[(10, 2), (11, 1), (12, 1), (17, 1), (26, 1), (32, 1), (42, 1), (73, 1), (77, 1), (96, 1), (118, 1), (141, 1), (164, 1), (166, 1), (169, 1), (174, 1), (176, 1), (177, 1), (193, 1), (197, 2), (198, 1), (218, 2), (225, 1), (240, 1), (241, 2), (247, 1), (264, 1)]"
estarão,"[(10, 1), (19, 1), (81, 1), (157, 2), (177, 1), (179, 1), (211, 1), (224, 1), (261, 1)]"
prontos,"[(10, 1), (171, 2), (208, 1)]"
prazo,"[(10, 1), (16, 1), (19, 1), (42, 2), (46, 1), (82, 1), (95, 1), (111, 1), (126, 1), (129, 1), (131, 1), (149, 1), (153, 2), (154, 2), (194, 1), (219, 1), (221, 1), (232, 1), (240, 1), (262, 1), (265, 1)]"
assinalado,"[(10, 1)]"
nota,"[(10, 1), (28, 2), (57, 3), (76, 2), (77, 1), (103, 2), (107, 1), (140, 2), (141, 1), (168, 1), (177, 7), (178, 1), (196, 1), (201, 2), (217, 1), (218, 1), (227, 1), (240, 2), (244, 2), (246, 3), (249, 1), (258, 1), (262, 1), (278, 1)]"
modo,"[(10, 1), (45, 1), (63, 2), (66, 1), (74, 1), (77, 1), (102, 1), (163, 1), (187, 1), (190, 1), (206, 1), (218, 1), (252, 1), (254, 1), (272, 1)]"
mantidas,"[(10, 1), (197, 1)]"
solenidades,"[(10, 1)]"
previamente,"[(10, 1), (45, 1)]"
agendadas,"[(10, 1), (102, 1)]"
relativas,"[(10, 1), (177, 1)]"
referido,"[(10, 1), (138, 1), (168, 1)]"
manifestação,"[(10, 1), (29, 1), (36, 2), (38, 2), (46, 1), (70, 1), (85, 1), (103, 2), (105, 1), (130, 1), (135, 1), (136, 1), (141, 1), (153, 1), (154, 1), (188, 1), (205, 3), (244, 1), (245, 1), (246, 1), (251, 1), (253, 2), (270, 2)]"
referidos,"[(10, 1)]"
aconteceu,"[(10, 1), (12, 1), (16, 2), (64, 1), (96, 1), (99, 1), (115, 1), (130, 1), (163, 1), (177, 2), (179, 1), (182, 1), (186, 1), (199, 1), (204, 1), (219, 1), (233, 1), (235, 1), (249, 2)]"
proibida,"[(10, 1)]"
comemorada,"[(10, 2)]"
celebração,"[(10, 1), (12, 1), (13, 2), (53, 1), (77, 1), (168, 1)]"
voltou,"[(10, 1), (14, 1), (18, 1), (20, 1), (24, 1), (61, 1), (69, 1), (70, 2), (90, 1), (95, 1), (113, 1), (119, 1), (130, 1), (145, 1), (160, 1), (192, 1), (261, 1), (265, 1), (269, 1)]"
calendário,"[(10, 1), (201, 1)]"
inclusive,"[(10, 1), (38, 1), (45, 2), (50, 1), (56, 1), (61, 1), (65, 1), (66, 1), (68, 2), (70, 2), (102, 1), (103, 2), (121, 1), (131, 1), (146, 1), (157, 1), (158, 1), (164, 1), (171, 1), (217, 1), (218, 2), (232, 1), (235, 2), (249, 1), (254, 1), (261, 1), (264, 1)]"
revolução,"[(10, 1), (153, 1), (154, 1), (183, 1), (229, 3), (232, 1), (269, 1)]"
salvou,"[(10, 1), (187, 1)]"
comunismo,"[(10, 1), (100, 1), (261, 1)]"
posição,"[(10, 1), (15, 1), (16, 1), (26, 1), (95, 1), (115, 1), (128, 1), (130, 1), (140, 5), (145, 1), (152, 1), (173, 1), (174, 2), (179, 1), (196, 1), (220, 1), (232, 1), (235, 2), (254, 1), (261, 1), (264, 1), (274, 1)]"
repercussão,"[(10, 1), (50, 1), (130, 1), (131, 2), (169, 1), (196, 1), (233, 1), (246, 1), (254, 1), (267, 1), (270, 1)]"
jurídico,"[(10, 2), (32, 1), (72, 2), (77, 1), (95, 1), (100, 1), (220, 1), (253, 1), (271, 1)]"
terça,"[(10, 2), (12, 1), (15, 1), (24, 3), (26, 1), (29, 2), (42, 1), (47, 1), (53, 1), (69, 1), (71, 2), (89, 2), (103, 2), (114, 1), (120, 2), (134, 1), (136, 1), (143, 1), (162, 1), (165, 1), (172, 2), (177, 2), (207, 1), (214, 1), (216, 1), (245, 1), (252, 1), (255, 1)]"
reagiu,"[(10, 1), (33, 1), (73, 1), (145, 1), (231, 1), (252, 1)]"
contestou,"[(10, 1)]"
infeliz,"[(10, 1), (31, 1), (270, 1)]"
incompatível,"[(10, 1), (23, 1), (28, 1), (45, 1), (157, 1), (192, 1)]"
democrático,"[(10, 1), (12, 2), (15, 1), (25, 1), (28, 1), (42, 1), (66, 1), (85, 1), (96, 1), (119, 1), (145, 2), (254, 1)]"
direito,"[(10, 1), (12, 2), (16, 1), (19, 1), (23, 1), (27, 2), (28, 1), (29, 1), (31, 1), (32, 2), (38, 2), (40, 1), (44, 1), (61, 1), (69, 1), (72, 2), (74, 1), (76, 1), (77, 3), (82, 2), (85, 2), (87, 1), (94, 1), (96, 1), (102, 1), (103, 1), (104, 1), (136, 1), (138, 1), (140, 1), (145, 2), (148, 1), (156, 1), (157, 2), (158, 1), (159, 1), (172, 1), (173, 2), (174, 1), (175, 1), (176, 1), (177, 1), (195, 6), (197, 1), (209, 1), (218, 5), (220, 1), (226, 3), (235, 3), (236, 1), (246, 2), (249, 1), (253, 4), (264, 1), (272, 3), (276, 2)]"
festejar,"[(10, 1), (28, 1)]"
adotou,"[(10, 1), (28, 1), (66, 2), (70, 2), (95, 1), (240, 1), (273, 1)]"
violações,"[(10, 1), (28, 1), (63, 2), (174, 4), (218, 1), (247, 1), (269, 1)]"
sistemáticas,"[(10, 1), (28, 1)]"
logo,"[(10, 1), (53, 1), (72, 1), (76, 1), (81, 1), (82, 1), (87, 1), (103, 2), (121, 1), (138, 1), (140, 1), (174, 1), (177, 1), (188, 1), (211, 1), (219, 1), (225, 1), (229, 1), (232, 1), (237, 1), (248, 1), (250, 1), (254, 1), (257, 2)]"
seguida,"[(10, 1), (100, 1), (140, 1), (150, 1), (171, 1), (186, 1), (193, 2), (210, 1)]"
proíba,"[(10, 1), (234, 1)]"
realizarem,"[(10, 1)]"
próximo,"[(10, 1), (26, 1), (27, 1), (29, 1), (37, 1), (42, 1), (73, 2), (124, 1), (136, 1), (144, 1), (152, 1), (153, 1), (154, 1), (156, 1), (167, 1), (179, 1), (186, 1), (219, 1), (224, 3), (228, 1), (231, 1), (234, 1), (235, 1), (258, 1)]"
marcou,"[(10, 1), (234, 1)]"
ditadura,"[(10, 1), (12, 2), (22, 1), (26, 2), (31, 4), (64, 1), (66, 1), (74, 1), (76, 1), (80, 1), (95, 1), (103, 2), (106, 1), (135, 1), (138, 1), (140, 1), (141, 1), (219, 1), (220, 2), (245, 1), (249, 1), (253, 1), (254, 1), (261, 1)]"
gastarem,"[(10, 1)]"
públicos,"[(10, 1), (27, 2), (29, 2), (52, 2), (58, 1), (63, 1), (66, 1), (72, 1), (77, 4), (85, 1), (87, 1), (91, 1), (95, 1), (100, 1), (124, 1), (149, 1), (157, 2), (164, 1), (175, 1), (184, 1), (194, 1), (198, 1), (200, 1), (212, 1), (214, 1), (219, 1), (220, 1), (232, 1), (242, 1), (243, 1), (245, 1)]"
